dataset,model,level,feature_set,threshold_value,precision_normal,recall_normal,f1_score_normal,precision_anomalous,recall_anomalous,f1_score_anomalous
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,0.75,0.7046217130372588,0.9069390868475538,0.7930800280771686,0.34203865759495305,0.11288838037121789,0.16974049903141566
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,1.0,0.7030684094860288,0.9307535142203335,0.8010454951203437,0.33875613646093605,0.08278540554284261,0.13304335337131656
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,1.25,0.7013678616847898,0.9486738585594422,0.8064871153715538,0.3241725320332295,0.057490465293668955,0.09764503364901228
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,1.5,0.7003822466844423,0.9627312847335731,0.8108641811565931,0.30969712451730164,0.039019832189168574,0.06929914959718124
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,1.75,0.7003292168064571,0.9741544077585267,0.8148524979992091,0.3122626727386825,0.027372234935163997,0.050325949001979974
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,2.0,0.7004430490761457,0.983085975809088,0.8180383295475643,0.32486734643795445,0.018986778540554285,0.03587313314409992
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,2.25,0.7002182002941659,0.9887310667974283,0.81983211696881,0.31868594746062556,0.012295957284515636,0.02367606342029978
BPI_Challenge_2012,IsolationForest,L2_Activity,position_based,2.5,0.7001033696224643,0.9922452871308707,0.8209587760131696,0.3130450984287431,0.008243071446732773,0.01606212329086882
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,-1.5,0.891766809988843,0.04135065925683774,0.0789561265087179,0.30633763681480225,0.9878375286041191,0.46764979971889664
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,-1.25,0.773830958498718,0.16186553339871418,0.2677196656839082,0.31266131336626163,0.8895982710399186,0.46269971179518155
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,-1.0,0.7870834754862905,0.28110166721150703,0.41425492332563685,0.32902788063741006,0.8225692855326722,0.47003976155346516
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,-0.75,0.787951415650291,0.44141658494061237,0.5658295573524466,0.3567447315555868,0.7228171878972794,0.4777099084806019
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,-0.5,0.7743289553967934,0.5955824343467364,0.6732770401962076,0.38661342153958167,0.5948766844647851,0.4686333597265483
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,-0.25,0.7405481220754259,0.6973330064291162,0.7182880538039899,0.378376351113057,0.4299148232901094,0.40249600726038626
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,0.0,0.7228563437579456,0.774488939740656,0.7477824245771851,0.3685690312738368,0.30714085939486396,0.335062755703488
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,0.25,0.7143339691634802,0.8314111365369946,0.7684384296557384,0.3630238676646077,0.22419781337401473,0.2771986741995708
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,0.5,0.7098624227716818,0.876832298136646,0.7845609849415498,0.3629570171051904,0.16376938723620646,0.22568887319461287
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,0.75,0.7062879537329481,0.9115375395009263,0.7958920890968538,0.3587978592627038,0.11551106025934402,0.1747469521155656
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,1.0,0.7040867745325615,0.9370589517271439,0.8040360467332356,0.3555828713439,0.08106788710907704,0.1320187164851689
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,1.25,0.7028266893191014,0.9555688133376921,0.8099380557348714,0.35563185099672917,0.05724002034070684,0.09859601731222789
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,1.5,0.7018825291299298,0.9683142639206712,0.8138472758625133,0.35295874524713006,0.040341978133740145,0.07239809640950942
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,1.75,0.701212350415464,0.9776244960226654,0.8166630958056933,0.34913604133019177,0.028009153318077802,0.051846734387354654
BPI_Challenge_2012,IsolationForest,L2_Activity,process_context,2.0,0.7007546183900119,0.9846425847226763,0.8187892793087572,0.3451406837823789,0.018891431477243835,0.03581242144667228
